N,P,K,soil_type,soil_moisture,temperature,humidity,ph,rainfall,season,water_availability,water_ph,location,label
32,69,25,red,medium,28.2,25.0,6.0,71.5,kharif,low,6.8,Vidarbha,tur
39,35,30,laterite,low,40.1,36.1,6.9,66.7,kharif,low,7.6,Marathwada,bajra
81,51,78,alluvial,high,25.9,57.4,6.2,21.9,zaid,medium,6.6,Western Maharashtra,watermelon
107,53,88,alluvial,high,26.4,59.4,5.7,58.4,zaid,medium,6.8,Western Maharashtra,watermelon
143,68,105,red,medium,25.7,55.9,6.8,93.9,kharif,medium,7.7,Western Maharashtra,tomato
117,68,107,alluvial,medium,28.4,69.8,6.9,224.2,kharif,medium,6.2,Marathwada,turmeric
107,55,88,red,medium,28.4,63.9,6.5,84.8,kharif,medium,6.8,Khandesh,onion
28,52,25,red,low,35.1,39.5,6.1,54.2,kharif,low,6.9,Marathwada,tur
99,38,62,alluvial,medium,25.7,54.5,6.6,47.0,rabi,medium,7.4,Western Maharashtra,wheat
112,68,76,red,medium,18.5,49.8,6.2,109.7,rabi,medium,6.1,Vidarbha,orange
86,40,106,red,medium,26.8,35.7,5.9,67.6,zaid,medium,6.9,Khandesh,watermelon
101,83,111,black,medium,18.7,55.4,7.9,64.8,rabi,medium,7.4,Marathwada,grapes
136,106,137,red,medium,11.2,75.7,5.3,76.9,rabi,medium,6.8,Vidarbha,potato
117,58,102,laterite,low,32.6,63.7,7.3,260.2,zaid,low,6.1,Konkan,mango
132,76,84,alluvial,medium,19.6,49.3,8.3,82.5,rabi,medium,7.2,Western Maharashtra,maize
126,59,17,black,low,24.6,53.8,6.2,99.5,kharif,medium,6.9,Vidarbha,cotton
81,75,132,red,medium,19.6,46.9,7.7,66.0,rabi,medium,6.7,Western Maharashtra,grapes
89,69,73,red,medium,31.3,29.4,5.6,64.0,zaid,medium,6.7,Khandesh,watermelon
107,56,127,black,medium,26.3,53.8,5.8,130.9,rabi,medium,6.7,Vidarbha,orange
47,55,42,alluvial,medium,26.7,54.3,6.6,113.2,kharif,medium,6.7,Western Maharashtra,groundnut
112,53,113,alluvial,low,31.6,63.2,8.5,44.0,rabi,medium,6.3,Khandesh,onion
96,48,23,red,medium,22.3,72.9,7.9,60.5,kharif,low,7.3,Marathwada,cotton
164,60,116,alluvial,medium,30.5,49.9,7.5,63.8,zaid,medium,7.1,Western Maharashtra,pomegranate
104,59,113,red,high,29.7,75.0,7.5,50.1,zaid,medium,6.9,Western Maharashtra,watermelon
124,47,51,alluvial,medium,15.3,69.8,6.2,36.8,rabi,medium,7.3,Vidarbha,wheat
57,49,37,red,low,25.4,51.6,6.2,61.1,rabi,low,7.4,Vidarbha,jowar
108,96,134,alluvial,medium,21.3,65.9,5.9,88.0,rabi,medium,6.1,Vidarbha,potato
154,83,102,alluvial,medium,25.3,60.9,6.9,79.1,rabi,medium,7.2,Western Maharashtra,tomato
144,86,103,black,medium,25.9,47.2,6.5,127.5,rabi,medium,6.1,Vidarbha,orange
97,61,150,red,medium,20.7,56.4,7.3,97.0,rabi,medium,7.1,Khandesh,onion
133,67,118,alluvial,medium,19.5,71.6,6.9,175.4,kharif,high,6.8,Western Maharashtra,turmeric
145,70,125,black,medium,20.9,76.0,6.4,263.3,kharif,high,6.6,Western Maharashtra,turmeric
71,70,58,laterite,high,27.4,88.6,5.5,293.0,kharif,high,6.9,Vidarbha,rice
118,73,106,alluvial,high,25.9,62.3,6.2,156.1,kharif,medium,6.5,Western Maharashtra,turmeric
100,82,53,black,high,31.0,79.9,5.1,307.7,kharif,high,6.5,Western Maharashtra,rice
78,25,21,red,low,25.0,27.4,6.7,47.0,kharif,low,6.8,Marathwada,bajra
149,96,130,red,medium,25.3,47.9,6.1,32.1,rabi,medium,7.6,Marathwada,grapes
